A;B;2;2;0.58966;0.47433;0.39813;0.34815;0.31418;0.28706;0.26987;0.25517;0.24168;
A;B;2;3;0.33373;0.2485;0.19244;0.15532;0.12854;0.10893;0.0943;0.0833;0.07347;
A;B;3;3;0.61408;0.49881;0.41996;0.36375;0.32462;0.295;0.27446;0.25857;0.24451;
A;B;2;4;0.33749;0.25601;0.19962;0.16108;0.13351;0.11488;0.09899;0.08653;0.07639;
A;B;3;4;0.35548;0.27116;0.21441;0.17186;0.14368;0.12165;0.10495;0.09347;0.08239;
A;B;4;4;0.63997;0.5227;0.44092;0.38051;0.34114;0.30656;0.28223;0.26247;0.24875;
A;B;2;5;0.35284;0.26444;0.20911;0.16862;0.13792;0.11853;0.10187;0.0892;0.07865;
A;B;3;5;0.36616;0.27892;0.22129;0.17884;0.1491;0.1278;0.11178;0.09587;0.08602;
A;B;4;5;0.37982;0.296;0.23098;0.18985;0.15932;0.13977;0.11862;0.10488;0.09268;
A;B;5;5;0.66393;0.54587;0.46356;0.39956;0.35591;0.31991;0.29088;0.27;0.25384;
A;B;2;6;0.36379;0.2722;0.21365;0.17415;0.14232;0.11992;0.10475;0.09134;0.08314;
A;B;3;6;0.3776;0.28649;0.22925;0.18544;0.15579;0.13208;0.11405;0.10127;0.089;
A;B;4;6;0.39501;0.30292;0.24154;0.19696;0.16438;0.14065;0.12205;0.10603;0.09663;
A;B;5;6;0.41059;0.31912;0.25686;0.21015;0.17654;0.15054;0.13364;0.11566;0.10273;
A;B;6;6;0.68813;0.57553;0.48659;0.42505;0.37285;0.33024;0.30526;0.28061;0.26225;
A;B;2;7;0.37291;0.2743;0.21217;0.17258;0.14211;0.12248;0.1015;0.0878;0.07949;
A;B;3;7;0.38498;0.2886;0.2263;0.18553;0.15159;0.13025;0.11094;0.09719;0.08477;
A;B;4;7;0.40049;0.30605;0.24077;0.19607;0.16624;0.14037;0.12076;0.10524;0.09331;
A;B;5;7;0.41753;0.31971;0.25664;0.21169;0.17745;0.15127;0.13015;0.11613;0.10057;
A;B;6;7;0.43252;0.33456;0.27244;0.22296;0.18798;0.16005;0.13798;0.1219;0.10807;
A;B;7;7;0.71395;0.60166;0.51638;0.44943;0.39881;0.35567;0.32454;0.29554;0.27623;
A;B;2;8;0.39504;0.28812;0.2246;0.17971;0.14907;0.12482;0.10786;0.09392;0.08263;
A;B;3;8;0.39953;0.29412;0.23179;0.18513;0.15381;0.13144;0.11191;0.09599;0.08292;
A;B;4;8;0.41385;0.31073;0.2463;0.201;0.16896;0.14021;0.12067;0.10365;0.09166;
A;B;5;8;0.43054;0.32783;0.26082;0.21058;0.17682;0.15107;0.13063;0.11337;0.10088;
A;B;6;8;0.44638;0.34311;0.27515;0.22572;0.19074;0.16217;0.13989;0.12242;0.10827;
A;B;7;8;0.46548;0.36173;0.29235;0.24157;0.20399;0.17258;0.14918;0.1323;0.11596;
A;B;8;8;0.73653;0.62948;0.54427;0.47504;0.42022;0.37938;0.34133;0.31451;0.29285;
A;B;2;9;0.41723;0.3062;0.23654;0.1917;0.15907;0.13195;0.1139;0.09798;0.08576;
A;B;3;9;0.42714;0.31667;0.24434;0.1966;0.16447;0.13672;0.1173;0.10189;0.08878;
A;B;4;9;0.43153;0.3225;0.24804;0.20105;0.1676;0.14187;0.12097;0.10368;0.09132;
A;B;5;9;0.44845;0.33811;0.26547;0.21837;0.18001;0.15182;0.1286;0.1111;0.10006;
A;B;6;9;0.46503;0.35175;0.28163;0.22815;0.19168;0.16417;0.13945;0.12201;0.10854;
A;B;7;9;0.48224;0.36984;0.29872;0.24587;0.2073;0.17529;0.15024;0.13166;0.11788;
A;B;8;9;0.50166;0.39118;0.3158;0.26105;0.21992;0.19003;0.16339;0.14329;0.12838;
A;B;9;9;0.76141;0.65777;0.57346;0.50586;0.45016;0.40637;0.36614;0.33432;0.31169;
A;B;2;10;0.44599;0.32132;0.2535;0.20241;0.16661;0.13914;0.12289;0.10483;0.09224;
A;B;3;10;0.45095;0.33366;0.25789;0.20767;0.17128;0.14762;0.12615;0.10761;0.09432;
A;B;4;10;0.45992;0.34235;0.26573;0.21724;0.18078;0.15176;0.12856;0.11077;0.09806;
A;B;5;10;0.46578;0.34642;0.27482;0.22327;0.1824;0.15653;0.13473;0.11582;0.09957;
A;B;6;10;0.48156;0.36501;0.28821;0.23577;0.19768;0.16733;0.14228;0.12397;0.10858;
A;B;7;10;0.50139;0.38498;0.30821;0.25029;0.2103;0.17941;0.15793;0.13554;0.11723;
A;B;8;10;0.52135;0.40473;0.326;0.268;0.22825;0.19586;0.16717;0.14729;0.12962;
A;B;9;10;0.53797;0.42154;0.34298;0.28559;0.24524;0.21096;0.18432;0.15985;0.14285;
A;B;10;10;0.7876;0.68622;0.60416;0.53538;0.48085;0.43271;0.39479;0.36052;0.33398;
A;B;2;11;0.46855;0.34379;0.26963;0.21855;0.18145;0.15086;0.12917;0.11109;0.09969;
A;B;3;11;0.47674;0.35467;0.27522;0.22387;0.18533;0.15472;0.13502;0.11516;0.10106;
A;B;4;11;0.48251;0.36159;0.28269;0.23294;0.19307;0.16058;0.13782;0.12;0.10649;
A;B;5;11;0.49403;0.37162;0.29306;0.23853;0.19843;0.16502;0.14297;0.12292;0.10997;
A;B;6;11;0.5053;0.37946;0.30005;0.24275;0.20145;0.17293;0.14719;0.12678;0.10985;
A;B;7;11;0.52347;0.39823;0.31948;0.25914;0.21735;0.18412;0.16078;0.13932;0.12114;
A;B;8;11;0.53898;0.41779;0.33234;0.27854;0.23498;0.20071;0.17253;0.15272;0.13345;
A;B;9;11;0.55858;0.43583;0.35563;0.29715;0.25563;0.21418;0.18727;0.16583;0.1469;
A;B;10;11;0.58021;0.46307;0.3788;0.31938;0.27305;0.23355;0.20715;0.18291;0.16184;
A;B;11;11;0.80655;0.71312;0.63368;0.56592;0.51141;0.46575;0.42452;0.39303;0.36349;
A;B;2;12;0.49587;0.36358;0.28623;0.23141;0.19142;0.16145;0.13865;0.12052;0.10651;
A;B;3;12;0.50461;0.37892;0.29489;0.23919;0.19706;0.16792;0.14273;0.12366;0.10874;
A;B;4;12;0.50989;0.38493;0.30228;0.24532;0.20376;0.17331;0.14761;0.12868;0.11228;
